Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
352,4716.08,991.9939177,378.9616765,1123,3.866920045,4.392008755,0.303018684,-0.303018684
353,4729.44,991.9939178,378.9616765,1123,3.866920045,4.392008755,0.303018666,-0.303018666
354,4742.8,991.9939178,378.9616765,1123,3.866920045,4.392008755,0.303018649,-0.303018649
355,4756.16,991.9939178,378.9616765,1123,3.866920045,4.392008755,0.303018633,-0.303018633
356,4769.52,991.9939178,378.9616765,1123,3.866920045,4.392008755,0.303018618,-0.303018618
357,4782.88,991.9939178,378.9616766,1123,3.866920045,4.392008755,0.303018603,-0.303018603
358,4796.24,991.9939178,378.9616766,1123,3.866920045,4.392008755,0.30301859,-0.30301859
359,4809.6,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018578,-0.303018578
360,4822.96,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018566,-0.303018566
361,4836.32,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018555,-0.303018555
362,4849.68,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018544,-0.303018544
363,4863.04,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018535,-0.303018535
364,4876.4,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018526,-0.303018526
365,4889.76,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018517,-0.303018517
366,4903.12,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018509,-0.303018509
367,4916.48,991.9939179,378.9616766,1123,3.866920045,4.392008755,0.303018501,-0.303018501
368,4929.84,991.9939179,378.9616767,1123,3.866920045,4.392008755,0.303018494,-0.303018494
369,4943.2,991.9939179,378.9616767,1123,3.866920045,4.392008755,0.303018487,-0.303018487
370,4956.56,991.9939179,378.9616767,1123,3.866920045,4.392008755,0.303018481,-0.303018481
371,4969.92,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018475,-0.303018475
372,4983.28,991.993918,378.9616767,1123,3.866920045,4.392008755,0.30301847,-0.30301847
373,4996.64,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018464,-0.303018464
374,5010,991.993918,378.9616767,1123,3.866920045,4.392008755,0.30301846,-0.30301846
375,5023.36,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018455,-0.303018455
376,5036.72,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018451,-0.303018451
377,5050.08,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018447,-0.303018447
378,5063.44,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018443,-0.303018443
379,5076.8,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018439,-0.303018439
380,5090.16,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018436,-0.303018436
381,5103.52,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018433,-0.303018433
382,5116.88,991.993918,378.9616767,1123,3.866920045,4.392008755,0.30301843,-0.30301843
383,5130.24,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018427,-0.303018427
384,5143.6,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018424,-0.303018424
385,5156.96,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018422,-0.303018422
386,5170.32,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018419,-0.303018419
387,5183.68,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018417,-0.303018417
388,5197.04,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018415,-0.303018415
389,5210.4,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018413,-0.303018413
390,5223.76,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018412,-0.303018412
391,5237.12,991.993918,378.9616767,1123,3.866920045,4.392008755,0.30301841,-0.30301841
392,5250.48,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018408,-0.303018408
393,5263.84,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018407,-0.303018407
394,5277.2,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018405,-0.303018405
395,5290.56,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018404,-0.303018404
396,5303.92,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018403,-0.303018403
397,5317.28,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018402,-0.303018402
398,5330.64,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018401,-0.303018401
399,5344,991.993918,378.9616767,1123,3.866920045,4.392008755,0.3030184,-0.3030184
400,5357.36,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018399,-0.303018399
401,5370.72,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018398,-0.303018398
402,5384.08,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018397,-0.303018397
403,5397.44,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018396,-0.303018396
404,5410.8,991.993918,378.9616767,1123,3.866920045,4.392008755,0.303018395,-0.303018395
