Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
-10% Cooling,8,106.88,970.686833072937,378.19420484741994,106.0,108.0
-10% Cooling,9,120.24,971.1025291435354,378.493914124055,106.0,108.0
-10% Cooling,10,133.6,971.481045613227,378.7725609696828,106.0,108.0
-10% Cooling,11,146.95999999999998,971.8268636949705,379.0318790326192,106.0,108.0
-10% Cooling,12,160.32,972.1437315649132,379.2734152616832,106.0,108.0
-10% Cooling,13,173.68,972.4348134625964,379.4985575322161,106.0,108.0
-10% Cooling,14,187.04000000000002,972.7028043085988,379.7085570058251,106.0,108.0
-10% Cooling,15,200.40000000000003,972.9500183858624,379.90454639843966,106.0,108.0
-10% Cooling,16,213.76000000000005,973.1784584646884,380.08755504458037,106.0,108.0
-10% Cooling,17,227.12000000000006,973.3898701120747,380.2585214323335,106.0,108.0
-10% Cooling,18,240.48000000000008,973.5857847092577,380.4183037246296,106.0,108.0
-10% Cooling,19,253.8400000000001,973.767553804805,380.5676886636702,106.0,108.0
-10% Cooling,20,267.2000000000001,973.9363767717217,380.7073991662267,106.0,108.0
-10% Cooling,21,280.5600000000001,974.0933232519619,380.8381008501988,106.0,108.0
-10% Cooling,22,293.92000000000013,974.2393515129338,380.9604076816777,106.0,108.0
-10% Cooling,23,307.28000000000014,974.3753235746638,381.07488689258264,106.0,108.0
-10% Cooling,24,320.64000000000016,974.5020177671618,381.1820632888139,106.0,108.0
-10% Cooling,25,334.00000000000017,974.6201392284731,381.2824230454358,106.0,108.0
-10% Cooling,26,347.3600000000002,974.7303287412448,381.3764170671367,106.0,108.0
-10% Cooling,27,360.7200000000002,974.8331702188088,381.46446397786514,106.0,108.0
-10% Cooling,28,374.0800000000002,974.9291970874852,381.54695279212996,106.0,108.0
-10% Cooling,29,387.4400000000002,975.0188977599051,381.6242453114176,106.0,108.0
-10% Cooling,30,400.80000000000024,975.1027203556253,381.69667828190234,106.0,108.0
-10% Cooling,31,414.16000000000025,975.1810767947693,381.76456534374637,106.0,108.0
-10% Cooling,32,427.52000000000027,975.254346365572,381.8281987975595,106.0,108.0
-10% Cooling,33,440.8800000000003,975.3228788491793,381.88785120966696,106.0,108.0
-10% Cooling,34,454.2400000000003,975.3869972686105,381.9437768746576,106.0,108.0
-10% Cooling,35,467.6000000000003,975.4470003177446,381.99621315104656,106.0,108.0
-10% Cooling,36,480.9600000000003,975.5031645163018,382.0453816836889,106.0,108.0
-10% Cooling,37,494.32000000000033,975.5557461288078,382.0914895247559,106.0,108.0
-10% Cooling,38,507.68000000000035,975.6049828796491,382.13473016355243,106.0,108.0
-10% Cooling,39,521.0400000000003,975.6510954908911,382.1752844741482,106.0,108.0
-10% Cooling,40,534.4000000000003,975.6942890656629,382.2133215887034,106.0,108.0
-10% Cooling,41,547.7600000000003,975.7347543358219,382.2489997034428,106.0,108.0
-10% Cooling,42,561.1200000000003,975.7726687908863,382.282466823405,106.0,108.0
-10% Cooling,43,574.4800000000004,975.8081977016295,382.31386145143307,106.0,108.0
-10% Cooling,44,587.8400000000004,975.8414950504198,382.34331322626815,106.0,108.0
-10% Cooling,45,601.2000000000004,975.8727043790053,382.3709435140757,106.0,108.0
-10% Cooling,46,614.5600000000004,975.9019595622669,382.39686595731183,106.0,108.0
-10% Cooling,47,627.9200000000004,975.9293855158418,382.4211869844323,106.0,108.0
-10% Cooling,48,641.2800000000004,975.955098844676,382.44400628359324,106.0,108.0
-10% Cooling,49,654.6400000000004,975.9792084379562,382.46541724320895,106.0,108.0
-10% Cooling,50,668.0000000000005,976.0018160161576,382.4855073619471,106.0,108.0
-10% Cooling,51,681.3600000000005,976.023016634458,382.5043586305165,106.0,108.0
-10% Cooling,52,694.7200000000005,976.042899146672,382.52204788738885,106.0,108.0
-10% Cooling,53,708.0800000000005,976.0615466336277,382.5386471503928,106.0,108.0
-10% Cooling,54,721.4400000000005,976.0790367984956,382.5542239259825,106.0,108.0
-10% Cooling,55,734.8000000000005,976.0954423329066,382.5688414977956,106.0,108.0
-10% Cooling,56,748.1600000000005,976.1108312554446,382.58255919600737,106.0,108.0
-10% Cooling,57,761.5200000000006,976.1252672256085,382.59543264885343,106.0,108.0
-10% Cooling,58,774.8800000000006,976.1388098348651,382.607514017577,106.0,108.0
-10% Cooling,59,788.2400000000006,976.1515148767099,382.6188522159788,106.0,108.0
